source_file,plot_name,metric_name,value_prefix,value_suffix,window_start,window_end,point_count,cadence_seconds,window_duration_seconds,window_fingerprint,first_value,last_value,min_value,max_value,mean_value,duplicate_rank,duplicate_group_size,is_duplicate_window,is_canonical_window,is_incomplete_window,window_day
AVAILABILITY-data.csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T06:11:20-05:00,2026-02-01T07:00:00-05:00,293,10,2920,fd807627714928165c966572aba8c805d8841681,37,18751,37,20762,14323.34,1,1,False,True,True,2026-02-01
AVAILABILITY-data (1).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T06:59:40-05:00,2026-02-01T08:00:00-05:00,363,10,3620,7e7e3373d48cb8cb8b02361ecfb34f79fcbf7aa7,18647,39745,18647,39771,33460.9,1,1,False,True,False,2026-02-01
AVAILABILITY-data (2).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T07:59:40-05:00,2026-02-01T09:00:00-05:00,363,10,3620,7376a046b77fd62c808c2ada2dbb74e517674d42,39771,424536,39745,425546,325770.38,1,1,False,True,False,2026-02-01
AVAILABILITY-data (3).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T08:59:40-05:00,2026-02-01T10:00:00-05:00,363,10,3620,9489495695c2ee1d3918ef5532318ae9ee8df802,424265,1231534,424265,1282681,1033794.44,1,1,False,True,False,2026-02-01
AVAILABILITY-data (4).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T09:59:40-05:00,2026-02-01T11:00:00-05:00,363,10,3620,0f0c85d1f4ca09ef83c7782ea5d28963de686558,1231899,2039683,1228440,2056874,1833546.56,1,1,False,True,False,2026-02-01
AVAILABILITY-data (5).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T10:59:40-05:00,2026-02-01T12:00:00-05:00,363,10,3620,959aa15c72755caf2139bdbc2073fd2af7f01ed4,2039594,2725656,2038633,2731352,2488915.48,1,1,False,True,False,2026-02-01
AVAILABILITY-data (6).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T11:59:40-05:00,2026-02-01T13:00:00-05:00,363,10,3620,ceab881b776328c29d208a6fce999756a061a19a,2731352,3466178,2725656,3488777,3274513.12,1,1,False,True,False,2026-02-01
AVAILABILITY-data (7).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T12:59:40-05:00,2026-02-01T14:00:00-05:00,363,10,3620,957d70d4a936e92dd16af9fb6c8cc07245638211,3466890,4343596,3466178,4386731,4122764.6,1,1,False,True,False,2026-02-01
AVAILABILITY-data (8).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T13:59:40-05:00,2026-02-01T15:00:00-05:00,363,10,3620,f6dcff268b117d426764475f798475c15afaed09,4340908,5036598,4340908,5059827,4866169.76,1,1,False,True,False,2026-02-01
AVAILABILITY-data (9).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T14:59:40-05:00,2026-02-01T16:00:00-05:00,363,10,3620,68186c0890261fa20767d1397150836d6b118e59,5032942,5168418,5026136,5224516,5158635.74,1,1,False,True,False,2026-02-01
AVAILABILITY-data (10).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T15:59:40-05:00,2026-02-01T17:00:00-05:00,363,10,3620,9750c23ea3438c5162e362390b93ebb67acf4b9a,5171229,5262710,4965871,5275443,5145807.58,1,1,False,True,False,2026-02-01
AVAILABILITY-data (11).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T16:59:40-05:00,2026-02-01T18:00:00-05:00,363,10,3620,205ab54bc41a693e242b65e57829584100803ffc,5269487,4852444,4812101,5280107,5007865.17,1,1,False,True,False,2026-02-01
AVAILABILITY-data (12).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T17:59:40-05:00,2026-02-01T19:00:00-05:00,363,10,3620,68de38562ce57724389dfcff74b1d33777b6956c,4861150,4609375,4601422,4863737,4741176.18,1,1,False,True,False,2026-02-01
AVAILABILITY-data (13).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T18:59:40-05:00,2026-02-01T20:00:00-05:00,363,10,3620,0258636bda1270905c329369573c88329b442b3c,4617987,4419940,4303482,4617987,4440455.59,1,1,False,True,False,2026-02-01
AVAILABILITY-data (14).csv,NOW,synthetic_monitoring_visible_stores,,,2026-02-01T19:59:40-05:00,2026-02-01T21:00:00-05:00,363,10,3620,cbeb0a2fb22991dc48aaae18ea23c11c071d5e60,4401118,3888181,3861386,4430975,4092688.2,1,1,False,True,False,2026-02-01
