hour_bucket,date,hour,mean_value,baseline_mean,baseline_median,baseline_std,zscore_vs_hour_baseline,delta_vs_hour_median,n_points,anomaly_direction
2026-02-10T16:00:00-05:00,2026-02-10,16,3337992.988888889,5146310.4591666665,5369630.827777778,904518.1679535722,-1.999205250204102,-2031637.8388888887,360,low
2026-02-10T15:00:00-05:00,2026-02-10,15,3686896.3916666666,5199510.025277778,5363055.85,759737.5051000695,-1.990968753624814,-1676159.458333333,360,low
2026-02-02T14:00:00-05:00,2026-02-02,14,4273888.183333334,5158839.693434344,5382707.861111111,448866.21684827335,-1.9715262073290385,-1108819.6777777774,360,low
2026-02-02T19:00:00-05:00,2026-02-02,19,3788506.9166666665,4915295.709397405,5093007.080555555,573341.886302132,-1.9652999713629133,-1304500.163888889,360,low
2026-02-08T19:00:00-05:00,2026-02-08,19,3809549.0,4915295.709397405,5093007.080555555,573341.886302132,-1.9285992107241816,-1283458.0805555554,3,low
2026-02-02T13:00:00-05:00,2026-02-02,13,3700439.575,4510962.88510101,4723546.147222222,427493.136907633,-1.895991397579178,-1023106.5722222216,360,low
2026-02-02T21:00:00-05:00,2026-02-02,21,2972146.797222222,3757024.3572222227,3945847.694444444,415250.43591479596,-1.8901306106299844,-973700.8972222218,360,low
2026-02-02T17:00:00-05:00,2026-02-02,17,4026046.533333333,5247763.4452777775,5486271.26111111,663536.4021101781,-1.841220629432147,-1460224.7277777772,360,low
2026-02-02T20:00:00-05:00,2026-02-02,20,3473206.486111111,4482142.385555556,4685403.554166667,558141.899264379,-1.8076691622223746,-1212197.0680555562,360,low
2026-02-02T12:00:00-05:00,2026-02-02,12,3022421.663888889,3726390.1891414146,3934228.5888888887,398630.15645877534,-1.765969066430445,-911806.9249999998,360,low
